School,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25
A B Paterson College,29,36,25,7,0
Agnew School,5,7,9,0,0
Albany Creek State High School,19,31,35,15,1
Aldridge State High School,9,14,22,6,0
Alexandra Hills State High School,10,28,28,25,0
All Hallows' School,77,86,42,14,0
All Saints Anglican School,49,53,35,13,0
All Souls St Gabriels School,2,4,9,4,0
Anglican Church Grammar School,86,68,40,3,0
Annandale Christian College,4,6,6,5,1
Aquinas College,9,29,42,36,7
Aspley State High School,6,7,16,5,0
Assisi Catholic College,6,21,24,15,1
Assumption College,4,10,12,9,1
Atherton State High School,12,20,23,18,2
Australian Christian College - Moreton,1,2,2,5,1
Australian International Islamic College,0,5,3,4,0
Aviation High School,9,14,5,8,0
Ayr State High School,5,14,12,5,0
Babinda State School,0,3,3,1,0
Balmoral State High School,4,9,6,8,0
Barcaldine Prep-12 State School,0,4,4,0,0
Beaudesert State High School,14,24,34,40,19
Beenleigh State High School,2,3,8,13,8
Beerwah State High School,2,14,15,8,1
Benowa State High School,15,35,25,7,1
Bentley Park College,4,7,14,16,4
Biloela State High School,11,9,11,4,0
Blackall State School,0,1,2,1,0
Blackheath and Thornburgh College,2,4,3,2,0
Blackwater State High School,0,2,7,7,0
Boonah State High School,3,9,21,12,2
Bowen State High School,2,9,9,5,0
Bracken Ridge State High School,4,7,8,6,0
Bray Park State High School,6,10,19,10,1
Bremer State High School,7,14,22,26,7
Bribie Island State High School,5,14,20,16,1
Brigidine College,20,42,18,11,1
Brisbane Adventist College,4,6,12,8,4
Brisbane Bayside State College,8,18,29,25,0
Brisbane Boys' College,43,60,43,20,0
Brisbane Christian College,2,8,9,6,2
Brisbane Girls Grammar School,101,74,38,10,0
Brisbane Grammar School,139,75,29,4,0
Brisbane School of Distance Education,19,36,18,10,1
Brisbane State High School,171,92,52,25,0
Browns Plains State High School,7,9,16,14,1
Bundaberg Christian College,9,4,5,6,3
Bundaberg North State High School,9,11,23,8,0
Bundaberg State High School,4,19,22,14,3
Bundamba State Secondary College,1,4,7,8,11
Burdekin Catholic High School,8,17,15,5,0
Burnett State College,1,5,5,5,0
Burnside State High School,3,4,13,12,1
Caboolture State High School,13,9,25,19,2
Cairns School of Distance Education,0,4,3,0,0
Cairns State High School,19,49,42,10,0
Calamvale Community College,7,19,13,11,1
Calen District State College,0,3,2,0,0
Caloundra Christian College,0,5,2,2,0
Caloundra City Private School,1,5,4,4,0
Caloundra State High School,7,22,14,17,1
Calvary Christian College,6,9,8,8,0
Calvary Christian College,17,17,8,13,0
Cannon Hill Anglican College,47,52,24,2,0
Canterbury College,27,25,21,24,0
Capalaba State College,5,7,7,5,0
Capella State High School,0,3,1,4,0
Carmel College,11,28,36,16,1
Cavendish Road State High School,23,47,30,17,0
Centenary Heights State High School,29,27,40,17,0
Centenary State High School,16,38,34,16,2
Central Queensland Christian College,0,0,1,1,0
Chancellor State College,25,42,33,7,0
Chanel College,11,21,21,13,1
Charleville State High School,4,1,5,4,0
Charters Towers School of Distance Education,0,0,1,0,0
Charters Towers State High School,1,5,2,1,0
Chinchilla State High School,7,12,10,8,0
Chisholm Catholic College,12,18,14,28,0
Christian Outreach College Toowoomba,10,11,15,10,1
Citipointe Christian College,23,39,24,14,1
Clairvaux MacKillop College,21,48,56,25,0
Clayfield College,10,23,15,4,2
Clermont State High School,2,2,5,4,0
Cleveland District State High School,23,40,43,28,7
Clifton State High School,1,4,3,3,0
Cloncurry State School,0,2,1,0,0
Clontarf Beach State High School,3,9,9,9,0
Collinsville State High School,0,0,4,2,0
Columba Catholic College (Mount Carmel Campus),0,4,3,5,0
Concordia Lutheran College,9,8,12,5,2
Cooktown State School,0,1,4,1,0
Cooloola Christian College,10,1,6,1,0
Coolum Beach Christian College,1,1,6,4,2
Coolum State High School,13,17,21,13,3
Coombabah State High School,11,7,20,20,4
Coomera Anglican College,14,33,21,9,1
Coorparoo Secondary College,2,6,7,3,0
Corinda State High School,16,43,37,36,4
Craigslea State High School,15,13,28,22,1
Dakabin State High School,4,13,16,10,3
Dalby Christian College,0,3,4,0,0
Dalby State High School,13,21,28,9,3
Darling Downs Christian School,1,1,3,0,0
Deception Bay State High School,2,6,10,2,0
Downlands College,27,25,25,21,3
Dysart State High School,0,0,1,0,0
Earnshaw State College,0,5,3,14,1
Eidsvold State School,0,0,1,0,0
Elanora State High School,6,13,22,15,0
Emerald Christian College,0,1,2,3,1
Emerald State High School,8,14,11,9,1
Emmanuel College  Carrara,31,36,29,13,0
Emmaus College,5,5,11,13,0
Emmaus College (Rockhampton),14,39,44,42,3
Everton Park State High School,0,3,1,3,0
Fairholme College,25,34,18,5,0
Faith Lutheran College,7,4,17,18,9
Faith Lutheran College - Redlands,3,20,17,11,0
Ferny Grove State High School,32,49,50,23,0
Flagstone State Community College,3,11,10,11,4
Forest Lake State High School,8,18,17,7,1
Fraser Coast Anglican College,8,12,17,9,1
Freshwater Christian College,1,5,4,6,0
Genesis Christian College,18,18,20,16,1
Gilroy Santa Maria College,7,13,3,3,0
Gin Gin State High School,10,3,13,6,0
Gladstone State High School,10,22,22,25,4
Glasshouse Christian College,4,11,16,7,1
Glenala State High School,2,3,8,2,0
Glenmore State High School,1,3,4,4,1
Gold Coast Christian College,1,2,2,3,0
Good Counsel College,14,15,16,10,0
